Wall time,Step,Value
1526688632.5340846,3099,9308.0
1526688637.0075133,3161,9152.0439453125
1526688641.9866486,3230,9352.4140625
1526688642.996179,3244,9330.32421875
1526688643.1442418,3246,9301.939453125
1526688643.2183595,3247,9382.671875
1526688647.396794,3305,9112.3125
1526688660.012602,3480,8857.123046875
1526688668.6676853,3600,9227.15234375
1526688669.9698677,3618,8562.4453125
1526688670.1130836,3620,8613.3974609375
1526688673.717374,3670,10600.9111328125
1526688678.8409977,3741,9712.703125
1526688682.5909762,3793,9543.0966796875
1526688684.1068463,3814,9137.8837890625
1526688684.6117792,3821,8813.23828125
1526688692.3366807,3928,8569.384765625
1526688694.353546,3956,8679.6923828125
1526688696.3706968,3984,8651.740234375
1526688700.4131708,4036,9016.099609375
1526688704.8881998,4098,9019.5869140625
1526688711.961975,4196,9263.7265625
1526688714.2092338,4227,9824.1953125
1526688714.570288,4232,8828.7666015625
1526688720.704408,4317,8408.466796875
1526688720.8479471,4319,8708.220703125
1526688726.691283,4400,8941.623046875
1526688733.3280091,4492,8622.7109375
1526688734.5558984,4509,9016.7236328125
1526688736.0695553,4530,9078.5068359375
1526688743.1367712,4628,8681.599609375
1526688745.734124,4664,8644.6005859375
1526688746.0206466,4668,13214.7890625
1526688746.5994291,4676,10937.76171875
1526688754.6751785,4788,9263.298828125
1526688755.6881795,4802,9113.17578125
1526688758.4294934,4840,9128.892578125
1526688759.296559,4852,8852.544921875
1526688762.3281114,4894,8062.7080078125
1526688767.2358522,4962,8706.5380859375
1526688767.8818226,4971,8602.623046875
1526688768.0960722,4974,8927.41015625
1526688773.5861666,5050,8922.4072265625
1526688773.7293022,5052,8806.6015625
1526688777.6296434,5106,8310.6494140625
1526688779.6453831,5134,8520.0498046875
1526688787.2194612,5239,8846.203125
1526688793.7152886,5329,8466.2421875
1526688794.8692236,5345,8880.7939453125
1526688795.880113,5359,8968.234375
1526688800.2877638,5420,8108.24267578125
1526688807.297084,5517,8377.548828125
1526688809.6074283,5549,8122.81591796875
1526688817.9064777,5664,8689.314453125
1526688818.9889636,5679,8378.697265625
1526688822.170392,5723,8905.75390625
1526688828.30783,5808,8421.8603515625
1526688829.5350454,5825,8806.21484375
1526688829.7500448,5828,8092.220703125
1526688832.3549554,5864,8082.9990234375
1526688832.8555453,5871,8716.94140625
1526688835.456486,5907,8545.54296875
1526688836.972153,5928,8020.5625
1526688841.4649465,5990,8664.705078125
