Wall time,Step,Value
1526691997.4077754,21,0.26490411162376404
1526692005.9639812,83,0.2706470489501953
1526692010.2338483,114,0.23111891746520996
1526692027.1298263,237,0.7131173014640808
1526692031.3891723,268,0.10960707813501358
1526692034.3470368,289,1.7068958282470703
1526692034.821813,293,0.3457588255405426
1526692039.015173,323,0.22309918701648712
1526692050.119248,404,0.7535051107406616
1526692064.307786,507,1.2791240215301514
1526692086.2868996,666,0.7597864270210266
1526692089.8602328,692,0.7604992389678955
1526692093.36593,718,1.0559558868408203
1526692113.8964238,867,1.5517362356185913
1526692114.1073632,868,1.4857679605484009
1526692123.7329574,938,0.2328459769487381
1526692153.350596,1153,0.4330812096595764
1526692158.989964,1194,0.6006916165351868
1526692165.6455204,1242,0.8207871317863464
1526692165.712045,1243,0.8736234903335571
1526692179.4078054,1342,0.8301526308059692
1526692216.9766107,1615,0.2361476719379425
1526692218.0769522,1623,0.832003116607666
1526692222.1363428,1652,0.94590824842453
1526692243.7127414,1809,0.4694709777832031
1526692243.8514216,1810,0.2574281096458435
1526692292.2493093,2158,0.3098216652870178
1526692297.958836,2200,0.38899698853492737
1526692304.3524315,2246,0.3554530143737793
1526692305.522948,2254,0.9305421113967896
1526692337.3459535,2485,0.6532098054885864
1526692348.5495157,2567,1.1959507465362549
1526692363.124848,2672,0.20436429977416992
1526692389.1810403,2861,0.6793786883354187
1526692401.8376737,2953,0.9439055323600769
1526692407.5435455,2995,0.07002384215593338
1526692422.0299983,3100,0.8171480298042297
1526692456.4249327,3349,0.5639244318008423
1526692457.254447,3355,0.40113940834999084
1526692467.1339707,3427,0.5102521181106567
1526692474.8474407,3483,0.482259601354599
1526692487.852689,3577,0.9976204037666321
1526692508.8797638,3730,0.3444844186306
1526692509.0883594,3731,0.3137538433074951
1526692532.1724923,3899,0.2264055758714676
1526692534.582016,3916,0.1668114960193634
1526692551.0391755,4033,0.34965911507606506
1526692558.880494,4090,0.6064701676368713
1526692561.7059042,4110,0.3907352387905121
1526692580.8147492,4249,0.5673990249633789
1526692581.5023825,4254,0.7726837396621704
1526692607.0023077,4439,0.5379508137702942
1526692610.9294434,4467,0.15950024127960205
1526692633.3158271,4630,0.381526380777359
1526692647.6180365,4734,0.20851150155067444
1526692653.5393066,4777,0.1604039967060089
1526692663.4913886,4849,0.5626150965690613
1526692711.7496068,5199,0.3020583689212799
1526692717.294685,5239,0.6087769269943237
1526692720.2507298,5261,0.7795296311378479
1526692746.6392074,5452,0.49933260679244995
1526692750.8252516,5483,0.5831214189529419
1526692754.5389273,5510,0.35555869340896606
1526692789.8084853,5766,0.6154595613479614
1526692792.1609316,5783,0.7348939180374146
1526692819.9433966,5984,0.6382158994674683
1526692820.28753,5987,0.46970468759536743
1526692833.7985141,6082,0.19537651538848877
1526692842.4746306,6145,0.49674519896507263
1526692882.9567173,6438,0.2283887416124344
1526692893.7571497,6517,0.30221086740493774
1526692895.6195493,6530,0.7159174084663391
1526692934.2054439,6810,0.2899633049964905
1526692980.631507,7147,0.5981456637382507
1526693006.407324,7334,1.2427953481674194
1526693014.0362651,7389,0.5945141911506653
1526693020.5491827,7436,0.4452346861362457
1526693061.863843,7736,0.1627819836139679
1526693081.9660587,7882,0.7570762634277344
1526693106.6402485,8058,0.4055511951446533
1526693157.6941414,8428,0.4243103861808777
1526693172.0602698,8533,0.31404048204421997
1526693174.1976473,8548,0.5988502502441406
1526693189.3818474,8658,0.711338222026825
1526693190.8908548,8669,0.312626451253891
1526693204.9252598,8771,0.10462518036365509
1526693205.8879268,8778,1.1685130596160889
1526693267.5261407,9225,0.22323119640350342
1526693341.897352,9765,0.7582021951675415
1526693349.4311202,9820,0.5922962427139282
1526693355.6912498,9865,0.2856418490409851
1526693373.8378034,9997,0.6986122131347656
1526693378.274569,10026,0.2411303073167801
1526693378.8854446,10031,0.4428233504295349
1526693391.399681,10122,0.3784935474395752
1526693396.8335943,10161,0.141261488199234
1526693404.9069335,10220,0.4449569582939148
1526693411.724645,10269,0.8361223936080933
1526693414.4003847,10289,0.6441237330436707
1526693428.2179105,10389,0.3860683739185333
1526693428.4201586,10391,0.2150001972913742
1526693433.4920306,10427,0.724578857421875
1526693448.9769523,10540,0.3755013346672058
1526693453.388869,10572,0.20163778960704803
1526693459.4837549,10616,0.18066926300525665
1526693465.4789572,10659,0.21381893754005432
1526693501.8878875,10924,0.6530073285102844
1526693529.2336304,11122,0.4831889271736145
1526693535.0703492,11165,0.6139007806777954
1526693536.9938095,11179,0.2966582477092743
1526693590.7217252,11569,1.1952505111694336
1526693591.4071383,11574,0.6396609544754028
1526693600.9321098,11643,0.6521271467208862
1526693606.095949,11680,0.4389423429965973
1526693610.6344247,11713,0.14579175412654877
1526693618.397423,11770,1.0472170114517212
1526693627.38484,11835,0.06053825467824936
1526693629.5169432,11850,0.254930317401886
1526693660.6247265,12073,0.10012263059616089
1526693669.9027877,12141,0.3578507900238037
1526693670.0415914,12142,0.400531530380249
1526693672.6515737,12161,0.44024914503097534
1526693693.281659,12310,0.04545395448803902
1526693700.5687966,12363,0.21355029940605164
1526693714.842125,12467,0.9169397354125977
1526693736.838619,12626,0.7614081501960754
1526693746.3181312,12695,0.9153118133544922
1526693775.3041527,12906,0.12926945090293884
1526693777.7103097,12923,1.7337146997451782
1526693782.7969265,12960,1.3776994943618774
1526693809.0933433,13151,0.4913635849952698
1526693843.1023653,13398,0.0998518094420433
1526693843.1705332,13399,0.07751445472240448
1526693867.6747055,13577,0.14589732885360718
1526693891.8579721,13752,0.061575282365083694
1526693898.639779,13801,0.6240647435188293
1526693901.0409622,13819,1.206823468208313
1526693913.8981814,13912,1.144189476966858
1526693920.158547,13958,0.5452736616134644
1526693956.542359,14219,0.03673385828733444
1526693963.7621138,14271,0.1773853451013565
1526693993.173211,14485,0.7339103817939758
1526693994.9566016,14498,0.7393060922622681
1526693999.4936907,14531,0.08275731652975082
1526694009.060306,14600,0.16028060019016266
1526694013.3768442,14631,0.2466503381729126
1526694027.6731808,14735,0.021356042474508286
1526694037.337831,14805,0.16816022992134094
1526694052.3249297,14914,0.1258329600095749
1526694064.462816,15002,0.38728591799736023
1526694066.2449462,15015,0.22027266025543213
1526694076.0651617,15087,0.029228348284959793
1526694086.5853345,15163,0.006108161062002182
1526694096.4589117,15235,0.6855325102806091
1526694106.2351136,15306,0.23355087637901306
1526694112.69691,15353,0.30467531085014343
1526694113.6598012,15360,0.18756933510303497
1526694160.9007685,15703,0.32549867033958435
1526694163.449867,15721,0.15210705995559692
1526694193.5756657,15940,0.42722806334495544
1526694197.4295843,15968,0.6921008229255676
1526694216.4911268,16103,0.008332634344696999
1526694232.231396,16217,0.06554897129535675
1526694239.5806916,16271,0.016240369528532028
1526694247.5027678,16328,0.09513970464468002
1526694254.7128074,16381,0.07468568533658981
1526694263.8295722,16447,0.025314386934041977
1526694264.3808196,16451,0.10480774939060211
1526694273.4519567,16517,0.04850374534726143
1526694283.557813,16590,0.07030723989009857
1526694296.9435444,16687,0.28264638781547546
1526694298.8688064,16701,0.20693190395832062
1526694321.8684719,16868,0.0454002283513546
1526694322.6995137,16874,0.3544800877571106
1526694325.1774359,16892,0.36721301078796387
1526694328.8863237,16919,0.11352162063121796
1526694331.4280803,16938,0.1689758598804474
1526694333.9711988,16956,0.02668699063360691
1526694342.472461,17018,0.06388554722070694
1526694364.8964443,17181,0.15289217233657837
1526694376.173614,17262,0.5254423022270203
1526694381.2584374,17299,0.7281022071838379
1526694431.832968,17666,0.09772124886512756
1526694433.2725184,17677,0.8549953699111938
1526694442.1328142,17741,0.05102454498410225
1526694461.9979157,17885,0.09629185497760773
1526694474.5058916,17976,0.031092757359147072
1526694480.7150805,18018,0.025662660598754883
1526694521.4509914,18314,0.009114805608987808
1526694523.5092075,18329,0.015215953812003136
1526694530.917714,18383,0.8178243637084961
1526694536.6563706,18425,0.36556506156921387
1526694560.8652766,18601,0.2457001656293869
1526694580.5699568,18744,0.17066039144992828
